tag,Card,Offer,Valid Till,Quotas,Valid On,Other Conditions,link
bms,"Reliance SBI Card PRIME Credit Card","Get 1 Free movie ticket upto INR250 every month","31-Mar-2026 23:59","No Quotas","Web & App","Available all days of the week. Offer can be availed once in a calendar month per card on Movies Only. Offer valid on all days of the week Offer is valid only on Primary Card","https://in.bookmyshow.com/offers/reliance-sbi-card-prime/SBIRIL03241"
bms,"Kotak Bank White & White Reserve Credit Cards","Get 10% off up to INR 1,000 on a minimum transaction of INR 3,500","25-Aug-2024 12:00","Limited","Website & Mobile App","Offer can be availed once per card during the offer period for the event Peppa Pig's Adventure Live Theatrical. A maximum of 10 tickets can be availed per transaction on BookMyShow. Offer is valid for limited transactors only.","https://in.bookmyshow.com/offers/rbl-bank-monthly-offer/RBLMON1216"
bms,"YES Bank MARQUEE Credit Card","Buy One ticket and Get One Free upto INR 800","31-Dec-2025 23:59","Limited","Web & Mobile","Customers can avail maximum 3 free tickets for movies in a calendar month. Maximum discount per ticket is capped at INR 800 Customers can avail free Movie tickets in a single transaction or multiple transactions. Minimum 2 tickets need to be booked in order to avail the offer. Offer valid on all days of the week Offer is valid on Movies. Excluding Events, Concerts, Plays, Sports and Activities, BMS Stream and F&B", "https://in.bookmyshow.com/offers/yes-bank-marquee-credit-card-offer/YESMRQ1123"
bms,"Yes Private and Yes Private Prime Credit Cards","Offer 1: Buy One and Get One Movie ticket free. Card members avail a maximum of 4 complimentary tickets a month.","31-Dec-2025 23:59","Limited","Web & Mobile","Card members can avail discount up to INR 1000 every calendar month. Card members can avail both the offers in a month.","https://in.bookmyshow.com/offers/yes-private-credit-card-offer/YESPRCC124"
bms,"Yes Private and Yes Private Prime Credit Cards","Offer 2: Get 50% off on Event tickets including Experiences, Events, Plays and Sports","31-Dec-2025 23:59","Limited","Web & Mobile","Card members can avail discount up to INR 1000 every calendar month. Card members can avail both the offers in a month.","https://in.bookmyshow.com/offers/yes-first-preferred,-reserv-&-elite-credit-card-offer/YESCC0124"
bms,"AURUM Credit Card","Get 4 free movie tickets per month or INR 1000 off whichever is less ","31-Mar-2026 10:52","No Quota","Web & App","Offer is applicable on maximum 4 tickets in a month, with a maximum discount of INR 250 per ticket. Maximum 2 tickets can be availed in a transaction. The offer is available on all days of the week.","https://in.bookmyshow.com/offers/aurum-credit-card-offer/SBISPR0420"
bms,"Federal Bank Credit Card","Get Instant 10% discount upto INR 1000 on Sonu Nigam live concert","7-Sep-2024 19:00","NA","Web & App","Offer valid once per card during the offer period The Offer valid on all days of the week Card members can avail maximum discount value up to INR 1000. Minimum transaction amount of INR 1000 Offer is valid till 7th September 2024","https://in.bookmyshow.com/offers/federal-bank-card-offer---sonu-nigam-live-concert/FEDCCSONU1"
bms,"Federal Bank credit Cards","Buy one ticket and Get One ticket free upto INR 250","30-Sep-2024 23:59","NA","Web & App","The Offer valid on all days of the week Offer valid once per card per month. Card members can avail maximum discount value up to INR 250. Customers will have to book minimum 2 tickets to avail the offer Offer is valid till 30th September 2024","https://in.bookmyshow.com/offers/federal-bank-credit-card-offer/FEDCC1023"
bms,"IDFC First Bank Private Credit Card","Get up to INR 750 off on Movies and FnB and/or Non-movies transaction twice a month","31-Mar-2025 23:59","No Quotas","Web & App","Maximum Discount per transaction will be the actual value of transaction or INR750 whichever is lower & Maximum number of discounted transactions in a month is 2 Eligible Bin Range - 4405231000000000 to 4405231009999999 Offer is valid on Movies, FnB, Events, Concerts, Plays, Sports, Activities For any Non-Movies Transaction, if the transaction amount is below INR750 for any event and there is no convenience fees, then the customer will have to select ""BookASmile"" and make a minimum INR 1 payment to avail the offer Offer is not valid on BMS Stream Food Combos has to be purchased in the same movie transaction to avail the offer Food Combos are available only in select cinemas Food Combos are not available for non-movies booking category Offer is valid till 31st March 2025","https://in.bookmyshow.com/offers/idfc-first-bank-private-credit-card-offer/IDFCCC0921"
bms,"DBS Vantage Credit Card","Buy One Get One Upto INR500 on minimum purchase of 2 tickets.","31-Dec-2024 23:59","Limited Quota","Web & App","This offer can be availed twice per card user in a calendar month on Movies Only Maximum discount per transaction per card is INR500. Maximum discount per card in a calendar month is INR1000. Offer can be availed on any day of the week for Friday Saturday & Sunday shows ONLY. (Transaction can be any day of the week, Show date has to be Friday, Saturday or Sunday) Offer is valid on Movies.","https://in.bookmyshow.com/offers/dbs-bank-vantage-credit-card-offer/DBSVN0424"
bms,"DBS Spark Credit Card","Buy One ticket and Get One Free upto INR 200 on minimum purchase of 2 tickets.","31-Jul-2025 23:59","Limited Quota","Web & App","This offer can be availed once per card user in a calendar month on Movies/Non-movies. Discount will be applicable on ONE ticket only in a single transaction upto INR200. This offer is valid on all days of the week. Offer is valid on Movies, Events, Concerts, Plays, Sports and Activities. Offer is not applicable on BMS Stream and F&B","https://in.bookmyshow.com/offers/dbs-spark-credit-card-offer/DBSCC1023"
bms,"Visa Infinite Credit Cards","Movie & F&B discount : Get 50% discount up to Rs 300 on minimum booking of 2 movie tickets and up to INR 200 off on food combos","31-Dec-2024 23:59","Limited","Web & App","Non movie discount : Get 50% discount up to Rs 500 on minimum booking of 2 non movie tickets","https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224"
bms,"YES BANK Credit Cards","Get 25% discount upto INR 250 on BookMyShow","31-Dec-2025 23:59","Limited","Web and Mobile","Offer can be availed once in a calendar month per card on Movies Only. Offer valid on all days of the week This offer is Valid for YES Bank RESERV Credit Cards (earlier known as YES First Exclusive), YES First PREFERRED Credit Card and YES Bank ELITE Credit Cards (previously known as YES Premia)","https://in.bookmyshow.com/offers/yes-first-preferred,-reserv-&-elite-credit-card-offer/YESCC0124"
bms,"HDFC Bank Diners Club Privilege Credit Card","Get upto INR 250 per ticket on group booking on Movies, Events, Concerts, Plays, Sports & Activities, Excluding BMS Stream & F&B on BookMyShow","31-Mar-2025 23:59","Limited","Web & App","Users can get only 2 free ticket in a calendar month Card members can avail maximum discount value upto INR 250/ticket in a calendar month Offer can be availed for shows on Friday/Saturday/Sunday (irrespective of booking day) Offer Valid from 15th June 2023 to 31st March 2025","https://in.bookmyshow.com/offers/hdfc-bank-diners-club-privilege-credit-card-offer/HDFCDZ0623"
bms,"ICICI Bank Credit Card","Get 25% discount","31-Mar-2025 23:59","Limited","Web & App","Minimum 2 tickets need to be brought in order to avail the offer Offer applicable only on select ICICI Bank Credit Cards Successful booking is on first come first serve basis and is subject to daily stock availability Offer is valid till 31st March 2025 This offer is applicable on movies only","https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520"
bms,"IndusInd Bank Indulge/Crest/Celesta/Heritage (Non-Metal), Legacy, Vistara Explorer Co-Branded,Pinnacle Credit Card","Buy 1 Get 1 movie ticket free upto INR 700 + INR 50 off on Food Combos + 20% off up to INR 350 on Event and Theatre bookings","31-Mar-2025 23:59","Limited","Web & App","Food combos has to be purchased in the same transaction to avail the INR 50 off on F&B Offer available on a minimum purchase of 2 tickets Offer on movie & food combos can be availed thrice in a month Offer on Events and theatre bookings is capped to 2 discounted transactions in a month.","https://in.bookmyshow.com/offers/indusind-bank-super-premium-&-premium-credit-cards-offer-(indulge,-crest,-celesta,-heritage-(non-metal)-,-legacy,-vistara-explorer-co--branded,-pinnacle)/INDSPC0424"
bms,"Visa Signature Cards & select Visa Rewards Credit Cards","Get 50% discount up to Rs 300 on movies","31-Dec-2024 23:59","Limited","Web & App","Offer valid on minimum booking of two movie tickets Offer is valid on both credit & debit Visa Signature Cards & select Visa Rewards Cards","https://in.bookmyshow.com/offers/visa-blockbuster-weekends-offer/VBOGO0224"
