"tag","Card","Offer","Valid Till","Other Conditions","link"
"cleartrip","Bank of Baroda Credit Card","Domestic Flights Discount%: 15%, Min Booking Value: Rs. 5,000}; International Flights- Discount%: 10%,Min Booking Value: Rs. 15,000","29th Sep","1.Visit www.cleartrip.com or download the Cleartrip Mobile App available for iOS on App Store & for Android on Google Play Store. 2.Book any Domestic or International One-way or Roundtrip Flight of your choice. 3.Enter coupon code BOBEMI before paying with your Bank of Baroda Credit Card. 4.The applicable discount amount as per the above table will be instantly deducted from the total amount payable. 5.On the payment step, select 'EMI' payment mode & complete the payment. *A processing fee of Rs. 199 plus applicable taxes, will be charged by your card issuer for each EMI transaction. 1.Visit www.cleartrip.com or download the Cleartrip Mobile App available for iOS on App Store & for Android on Google Play Store. 2.Book any Domestic or International One-way or Roundtrip Flight of your choice. 3.Enter coupon code BOBEMI before paying with your Bank of Baroda Credit Card. 4.The applicable discount amount as per the above table will be instantly deducted from the total amount payable. 5.On the payment step, select 'EMI' payment mode & complete the payment. *A processing fee of Rs. 199 plus applicable taxes, will be charged by your card issuer for each EMI transaction.","https://offers.cleartrip.com/bob-cc-emi-flights-offer/"
"cleartrip","Canara Bank Credit Card","Domestic Flights Offer Flat 15% off, Max. discount on Canara Credit Cards: '₹2,024; International Flights Offer Flat 10% off, Max. discount on Canara Credit Cards: ₹10,000","30th Dec","Visit www.cleartrip.com or download the Cleartrip Mobile App available for iOS on App Store & for Android on Google Play Store. Book any Domestic/ International One-way or Roundtrip Flight of your choice. Simply enter coupon code CANARACC before making the payment with your Canara Bank Credit Card. The applicable discount amount as per the above table will be instantly deducted from the total amount payable. Valid for transactions made every Monday & Thursday between 01 July'24 (12 AM) till 30 Dec'24 (11:45 PM). Dates of travel are completely open. The offer is valid once per card per product once a month. No minimum booking amount required to avail the offer","https://offers.cleartrip.com/canara-bank-credit-cards-flights-offer/"
"cleartrip","AU Bank Credit Cards","Domestic Flights Offer Flat 12% off, Max. discount on AU Credit Cards: ₹1,250, Min. booking value: ₹4,000; International Flights Offer Flat 10% off, Max. discount on AU Credit Cards: ₹3,000, Min. booking value: ₹10,000","27th Sep 2024","Visit www.cleartrip.com or download the Cleartrip Mobile App Book any Domestic/ International One-way or Roundtrip Flight of your choice. Simply enter coupon code AUCC before making the payment with your AU Credit Cards The applicable discount amount as per the above table will be instantly deducted from the total amount payable Valid for transactions made from 05 July'24 (12 AM) to 27 Sep'24 (11:59 PM). Dates of Travel are completely open. The offer is valid once per card & once per product during the offer period. The offer is applicable to select credit cards.","https://offers.cleartrip.com/au-bank-cards-offer-ct/"
"cleartrip","SBI Bank Credit Cards","Domestic flights Offer Flat 12% off, Max. discount on SBI Credit Cards: ₹1,500, Min. booking value': ₹5,000","29th Sep 2024","Visit www.cleartrip.com or download the Cleartrip Mobile App Book any Domestic/ International One-way or Roundtrip Flight of your choice. Simply enter coupon code SBICC or SBIEMI before making the payment with your SBI Credit Card. The applicable discount amount as per the above table will be instantly deducted from the total amount payable. To avail of No Cost EMI on the payment step, select 'EMI' & enable the 'Show Banks with No-Cost EMI' toggle. Select the 3-month EMI option with SBI and complete the payment with your SBI Credit Card. Valid for transactions made on Saturday & Sunday between 06 July'24 (12 AM) to 29 Sep'24 (11:59 PM). Dates of Travel are completely open. Offer is valid once per user, per product every month.","https://offers.cleartrip.com/sbi-credit-cards-weekly-campaign/"
"cleartrip","Federal Bank Credit Card","Domestic Flights Discount 12%, Max Discount on Credit Cards: Rs. 2,400, Min Booking Value: Rs. 5,000","25th Sep 2024","Visit www.cleartrip.com or download the Cleartrip Mobile App Book any Domestic/ International One-way or Roundtrip Flight of your choice. Simply enter coupon code FEDCC or FEDDC before making the payment with your Federal Bank Credit or Debit card. The applicable discount amount as per the above table will be instantly deducted from the total amount payable. Valid for transactions made every Tuesday & Wednesday between 02 April 2024 (12 AM) till 25 September 2024 (11:59 PM). Dates of Travel are completely open. The offer is valid once per card & once per product every month.","https://offers.cleartrip.com/federal-bank-credit-debit-cards-flights-offer/"
"cleartrip","Axis Bank Credit Card","Domestic Flights Flat 12% off + additional 3 months savings with EMI; International Flights Flat 10% off + additional 3 months savings with EMI","31st Aug 2024","Visit www.cleartrip.com or download the Cleartrip Mobile App Book any Domestic/ International One-way or Roundtrip Flight of your choice. Simply enter coupon code AXISEMI before making the payment with your Axis Bank Credit Cards. The applicable discount amount as per the above table will be instantly deducted from the total amount payable. To avail additional benefits on EMI on the payment page, select 'EMI' & enable the 'Show Banks with additional savings with EMI' toggle. Select the 3-month EMI option with Axis and complete the payment with your Axis Bank Credit Cards. Valid for transactions made between 01 August'24 (12 AM) to 31 August'24 (11:59 PM). Dates of Travel are completely open. Offer is valid once per user, per product per month.","https://www.cleartrip.com/all-offers/axis-ncemi-offer/"
"cleartrip","RBL Bank Credit Card","Domestic Flights Flat 12% off; International Flights Flat 10% off","30th Sep 2024","Visit www.cleartrip.com or download the Cleartrip Mobile App Book any Domestic/ International One-way or Roundtrip Flight of your choice. Simply enter coupon code RBLEMI before making the payment with your RBL Bank Credit Card. The applicable discount amount as per the above table will be instantly deducted from the total amount payable. To avail of No Cost EMI on the payment step, select 'EMI' & enable the 'Show Banks with No-Cost EMI' toggle. Select the 3 & 6-month EMI option and complete the payment with your RBL Bank Credit Card. Valid for transactions made between 1 July'24 (12 AM) to 30 Sep'24 (11:59 PM). Dates of Travel are completely open. Offer is valid once per user, per product during the offer period.","https://www.cleartrip.com/all-offers/rbl-credit-cards-ncemi-campaign-2/"
"cleartrip","IDFC Bank Credit Card","Domestic / International Flights Flat 8% off, ","31st Aug 2024","Visit www.cleartrip.com or download the Cleartrip Mobile App Book any Domestic/ International One-way or Roundtrip Flight of your choice. Simply enter coupon code IDFCEMI before making the payment with your IDFC FIRST Bank Credit Card. The applicable discount amount as per the above table will be instantly deducted from the total amount payable. Valid for transactions made between 01 August 24 (12 AM) to 31 August 24 (11:59 PM). Dates of Travel are completely open. Offer is valid once per user, per product per month","https://offers.cleartrip.com/idfc-first-bank-credit-cards-campaign/"
"cleartrip","Bank of Baroda Credit Card","Domestic Flights Flat 15% Off; International  Flights Flat 10% Off","27th Oct 2024","Visit www.cleartrip.com or download the Cleartrip Mobile App available for iOS on App Store & for Android on Google Play Store. Book any Domestic/ International One-way or Roundtrip Flight of your choice. Simply enter coupon code BOBFEST before making the payment with your BOB Credit Cards The applicable discount amount as per the above table will be instantly deducted from the total amount payable Valid for transactions made from 23 Oct'23 (12 AM) to 27 Oct'23 (11:59 PM). Dates of Travel are completely open. The offer is valid once per card & once per product during the offer period.","https://offers.cleartrip.com/consortium-campaign-bank-of-baroda-credit-cards/"
"cleartrip","Citi Credit Card","Domestic Flights Discount 12%, Max Discount on Credit Card: Rs. 1,200","27th Jun 2024","Visit www.cleartrip.com or download the Cleartrip Mobile App. Book any Domestic/ International One-way or Roundtrip Flight of your choice. Simply enter coupon code TRAVEL / CTCCEMI before paying with your Citi-branded Credit or Debit Cards. The applicable discount amount as per the above table will be instantly deducted from the total amount payable. To avail of EMI on the payment step, select 'EMI' Select the EMI Tenure and complete the payment with your Citi-branded Credit Cards The offer is valid for transactions made every Thursday between 04 Apr'24 (12 AM) till 27 June'24 (11:59 PM). Dates of Travel are completely open. The offer is valid once per card & once per product per week.","https://offers.cleartrip.com/citi-cards-flights-offer/"
